#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,مؤتمر العلا لإقتصادات الأسواق الناشئة ,وزارة المالية ,"هو حدث يقام سنويًا في محافظة العلا بتنظيم من وزارة المالية والمكتب الإقليمي لصندوق النقد الدولي في الرياض، ويجمع صُنّاع السياسات من وزارة المالية والبنوك المركزية وقادة من المنظمات الدولية إلى جانب كبار المستثمرين العالميين والأكاديميين، وتتناول نقاشات المؤتمر التطورات الاقتصادية والسياسات الرامية إلى تعزيز الازدهار الشامل والمرونة من خلال التعاون الدولي.","Sunday, February 8, 2026","Monday, February 9, 2026",2,Tier 1,أعمال,العلا,الاقتصاد والتجارة,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى إمباك,وزارة الإعلام,"حدث تستضيف من خلاله وزارة الإعلام المؤثرين في مختلف التخصصات والمجالات وأبرز صناع المحتوى الرقمي، بحيث تفتح الأفاق لتبادل التجارب المتنوعة وإبراز الخبرات والمواهب الرقمية محلياً ودولياً.","Tuesday, February 10, 2026","Wednesday, February 11, 2026",2,Tier 2,أعمال,العلا,الإعلام والنشر,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان التمور ,الهيئة المليكة لمحافظة العلا,"يمثل الموسم رافداً اقتصادياً مهماً للمحافظة ويتيح الفرصة لمزارعي العلا عرض منتجاتهم من التمور أمام المشترين والمستثمرين من داخل وخارج المملكة، كما يستضيف جلسات تفاعلية مع نخبة من أشهر الطهاة بهدف تسليط الضوء على التراث الغني للعلا، واستكشاف طرق مبتكرة لاستخدام التمور في صناعة منتجات وأطباق متنوعة.","Thursday, October 1, 2026","Saturday, October 31, 2026",31,Tier 2,أعمال,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى وادي عشار ,الهيئة المليكة لمحافظة العلا,هو حدث سنوي عن منتدى للقيادة الفكرية مصمم لربط كبار المؤثرين والشخصيات في قطاع الترفيه للتعاون في تحديد أجندة صناعة السينما والإعلام والترفيه.,"Monday, October 12, 2026","Saturday, December 12, 2026",3,Tier 1,أعمال,العلا,الإعلام والنشر,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مركز العلا للموسيقى,الهيئة المليكة لمحافظة العلا," يقدم سلسلة من الورش والعروض الموسيقية العربية والكلاسيكية الغربية وموسيقى الجاز، بمشاركة مجموعة متنوعة من الآلات والأساليب الصوتية.","Thursday, January 1, 2026","Thursday, December 31, 2026",365,Tier 3,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,مهرجان الحمضيات ,الهيئة المليكة لمحافظة العلا,"يمثل مهرجان الحمضيات في العلا حدثاً اقتصاديًا محوريًا يمنح المزارعين المحليين منصة مميزة لعرض وبيع منتجاتهم، دعمًا للاقتصاد الزراعي في المحافظة التي تضم ما يقارب 5,000 مزرعة منتجة.","Thursday, January 8, 2026","Thursday, January 15, 2026",8,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,حفلات مرايا ,الهيئة المليكة لمحافظة العلا,"يستضيف ويقدّم مسرح مرايا 3 حفلات غنائية بمشاركة مجموعة من أبرز الفنانين الإقليميين والدوليين، لتقديم عروض موسيقية متنوعة تناسب جميع الفئات العمرية.","Thursday, January 8, 2026","Friday, January 23, 2026",3,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان العلا للفنون,الهيئة المليكة لمحافظة العلا,"يتحول المهرجان إلى مركز نابض بالإبداع والتبادل الثقافي، من واحة العلا إلى حي الفنون الجديد وما بعدهما، حيث تتيح للزوار فرصة استكشاف معارض الفن المعاصر والمنشآت الفنية وعروض التصميم المبتكرة، إلى جانب العروض الأدائية والورش التفاعلية والفعاليات المجتمعية.","Friday, January 16, 2026","Saturday, February 14, 2026",30,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض عوالم التصميم في فيلا الحِجر,الهيئة المليكة لمحافظة العلا,"تستضيف فيلا الحجر في مهرجان فنون العلا ثلاثة مشاركات فنية بارزة في التصميم المعاصر، تشمل قطع أثاث لفنانين سعوديين وشركاء سويسريين وأعمال معاصرة بالشراكة مع مؤسسات فرنسية.","Friday, January 16, 2026","Saturday, February 14, 2026",30,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,Desert X AlUla 2026 ,الهيئة المليكة لمحافظة العلا,"في دورته الرابعة بعنوان (فضاء بلا حدود)، يقدّم المعرض أعمالاً فنية ضخمة مستوحاة من تأمّلات جبران خليل جبران تتناغم مع طبيعة العلا وتاريخها، وتشمل تشكيلات ومنحوتات فنية في وادي الفن، إلى جانب جولات وأنشطة مثل تأمّل النجوم ومسارات تجمع بين رياضة الهايكنق والفن.","Friday, January 16, 2026","Saturday, February 28, 2026",44,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض أثر,الهيئة المليكة لمحافظة العلا,"يقدّم المعرض أعمالاً معاصرة لفنانين محليين مخضرمين، تعيد تأويل العمارة المنزلية وتحويلها إلى منحوتات فنية تستحضر ذاكرة المكان، من خلال استخدام مواد تحمل دلالات حسّية وثقافية مثل الشمع وبلاطات مزخرفة مستوحاة من الحناء والبخور.","Friday, January 16, 2026","Wednesday, April 15, 2026",90,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,سباق درب العلا ,الهيئة المليكة لمحافظة العلا,"  يقدم السباق مسافات 1.6كم، 3 كم، 10 كم، 23 كم، 50 كم، و100 كم، ويستقطب عدائين من جميع أنحاء العالم مع تجارب فريدة مثل وقت الغروب ومسار خاص للأطفال.","Thursday, January 22, 2026","Friday, January 23, 2026",2,Tier 1,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,روائع الأوركسترا السعودية في العلا,هيئة الموسيقى,"تستعد الأوركسترا والكورال الوطني السعودي لتقديم حفل ""روائع الأوركسترا السعودية"" في العلا، تعد هذه الفعالية أحد أبرز الفعاليات الموسيقية التي تمزج بين الأصالة والمعاصرة، حيث يجتمع العزف الكلاسيكي مع الألحان السعودية في توليفة فنية تُبرز هوية المملكة وتحتفي بثرائها الثقافي، يشارك في الحفل نخبة من العازفين والمغنين والكورال السعودي.","Thursday, January 22, 2026","Friday, January 23, 2026",2,Tier 2,ترفيه,العلا,حفلات موسيقية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,طواف العلا,الهيئة المليكة لمحافظة العلا,"تستضيف العلا سباق الدرجات الهوائية، حيث يشارك في السباق نخبة من الفرق العالمية، ويتكون من عدة مراحل تمر عبر أبرز معالم العلا الطبيعية والثقافية لتعزيز مكانتها كوجهة عالمية للرياضة والسياحة.","Tuesday, January 27, 2026","Saturday, January 31, 2026",5,Tier 1,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض أرضنا ,الهيئة المليكة لمحافظة العلا,"هو معرض فنون معاصرة بتنظيم مشترك بين متحف الفن المعاصر في العلا وتنسيق مشترك مع مركز بومبيدو في باريس، يستقبل ضيوفه في مواقع متعدّدة داخل العلا، يضمّ المعرض أعمال إبداعية من المجموعات الفنية التابعة لمركز بومبيدو والعلا، تشمل الأعمال الفنية المنحوتات والرسوم والمجسمات وأعمال فنية صوتية. ","Sunday, February 1, 2026","Wednesday, April 15, 2026",74,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,الفنان بلاك كوفي في جبل الفيل,مدل بيست و الهيئة المليكة لمحافظة العلا,"فعالية مع دي جاي بحضور الفنان بلاك كوفي، تجمع موسيقى عالمية وتجربة بصرية متناغمة مع الموقع الفريد.","Friday, April 17, 2026","Saturday, October 24, 2026",4,Tier 2,ترفيه,العلا,مدل بيست و الهيئة المليكة لمحافظة العلا,أساس,ملغى 1,غير متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,دوري المقاتلين المحترفين,الهيئة المليكة لمحافظة العلا,"رابطة محترفي فنون القتال المختلطة (PFL) تخطط لإقامة فعالية كبرى في العلا، ضمن بطولة عالمية تعتمد نظامًا موسميًا فريدًا مع جوائز تصل إلى مليون دولار، لتجمع بين إثارة الرياضة وجمال الطبيعة في تجربة غير مسبوقة","Friday, April 24, 2026","Friday, April 24, 2026",1,Tier 2,ترفيه,العلا,مباريات ونزالات,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,الفنان ادرياتيك في جبل الفيل,مدل بيست و الهيئة المليكة لمحافظة العلا,"فعالية مع دي جاي بحضور الفنان ادرياتيك، تجمع موسيقى عالمية وتجربة بصرية متناغمة مع الموقع الفريد.","Friday, July 17, 2026","Saturday, July 18, 2026",2,Tier 2,ترفيه,العلا,مدل بيست و الهيئة المليكة لمحافظة العلا,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,عرض مباراة نهائي كأس العالم لكرة القدم,الهيئة المليكة لمحافظة العلا,"عرض يتيح للحضور متابعة البث المباشر للمباراة يتضمن شاشة عرض كبيرة، كما ستتوفر خدمات إضافية مثل الأطعمة والمشروبات والمرافق الأساسية و عرض موسيقي ( DJ )، الهدف من الفعالية هو توفير مساحة منظمة لتعزيز التفاعل المجتمعي حول حدث رياضي دولي كبير.","Sunday, July 19, 2026","Monday, July 20, 2026",1,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,سباق لهيب العلا  2026,الهيئة المليكة لمحافظة العلا,"السباق يختبر قدرة العدائين المشاركين من المنطقة ومن مختلف أنحاء العالم على تحمّل درجات الحرارة العالية خلال فصل الصيف، حيث أتاح لهم فرصة الفوز بجوائز نقدية  كما يتيح السباق المشاركة للرجال والسيدات من جميع مستويات اللياقة البدنية مع خيارات متنوعة وسط تضاريس العلا الصحراوية ومعالمها الطبيعية لمسافات تمتد إلى 5 أو 10 أو 21.1 أو 42.2 كم.","Friday, August 14, 2026","Saturday, August 15, 2026",2,Tier 1,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان كيان العلا,الهيئة المليكة لمحافظة العلا,"يدعو المهرجان المشاركين إلى رحلة للنمو الشخصي الشامل، بمشاركة متحدثين عالميين وخبراء في الصحة والعافية وجلسات تفاعلية تشمل اليوغا والتأمل والعلاج بالصوت والعلاج بالطاقة وورش عمل للعافية لخلق تجربة لا تُنسى.","Tuesday, September 1, 2026","Saturday, September 5, 2026",5,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,سبتمبر 2026 او مارس 2027,تضمن,
,الفنان انيما في جبل الفيل,مدل بيست و الهيئة المليكة لمحافظة العلا,"فعالية مع دي جاي بحضور الفنان انيما، تجمع موسيقى عالمية وتجربة بصرية متناغمة مع الموقع الفريد.","Friday, September 25, 2026","Saturday, September 26, 2026",2,Tier 2,ترفيه,العلا,مدل بيست و الهيئة المليكة لمحافظة العلا,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,معرض فنون,الهيئة المليكة لمحافظة العلا,"معرض فن معاصر يضم مجموعة من الأعمال الحديثة التي تناقش موضوعات معاصرة من خلال أساليب ووسائط فنية متنوعة، ويقدّم تجربة واضحة ومباشرة للجمهور.","Saturday, September 26, 2026","Saturday, December 26, 2026",91,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,سباق دواثلون العلا,الهيئة المليكة لمحافظة العلا,"يقدم السباق ثلاث فئات من المسافات يتكون من رياضتين (الجري، وركوب الدرجات الهوائية) وهي المسافة فائقة السرعة  والمسافة السريعة والمسافة الأولمبية مع نقطة الانطلاق والنهاية في منتزه الشتاء، ويمتد المسار المذهل ليأخذ الدراجين إلى منطقة الحرات بينما يمر العداؤون بجوار دادان والواحة المحيطة.","Friday, October 23, 2026","Friday, October 23, 2026",1,Tier 2,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,الفنان بدوين في جبل الفيل,مدل بيست و الهيئة المليكة لمحافظة العلا,"فعالية مع دي جاي بحضور الفنان بدوين، تجمع موسيقى عالمية وتجربة بصرية متناغمة مع الموقع الفريد.","Friday, October 23, 2026","Saturday, October 24, 2026",1,Tier 2,ترفيه,العلا,مدل بيست و الهيئة المليكة لمحافظة العلا,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,تحت ضوء القمر ,الهيئة المليكة لمحافظة العلا,"تعاون مشترك مع فوكس سينما حيث يمنح الزوار تجربة فريدة لمشاهدة أحدث الأفلام في مكان مفتوح تحت سماء العلا، حيث ستضم حوالي 130 مقعدًا يقدم عرضين يوميًا، إضافةً إلى عروض خاصة بالأطفال في سينما حي الجديدة ضمن فعاليات المهرجان.","Friday, October 23, 2026","Saturday, October 31, 2026",9,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
, اليوغا والصحة ,الهيئة المليكة لمحافظة العلا,"سيتضمن البرنامج سلسلة من الأنشطة المنظمة المصممة لتعزيز الصحة البدنية واليقظة الذهنية، حيث ستُقام الجلسات في مجموعة من الوجهات الأيقونية داخل العلا، مع الاستفادة من الطبيعة والمناظر الثقافية لخلق تجربة غامرة.","Friday, October 23, 2026","Saturday, October 31, 2026",9,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,اللياقة البدنية ,الهيئة المليكة لمحافظة العلا,"سيقدم البرنامج  سلسلة من الحصص الرياضية المنظمة المصممة لتعزيز الصحة البدنية، حيث ستُقام الجلسات في مجموعة من أبرز المواقع الأيقونية في العلا مع الاستفادة من البيئة الطبيعية والثقافية الفريدة لخلق تجربة جذابة للمشاركين. ","Friday, October 23, 2026","Saturday, October 31, 2026",9,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,نصف  ماراثون العلا ,الهيئة المليكة لمحافظة العلا,"  سباق جري معتمد من منظمة AIMS العالمية، مع مسافات متنوعة تناسب جميع المستويات  1500 متر، 3 كم، 5 كم، 10 كم،21 كم، 30 كم، حيث ينطلق السباق من المنتزه الشتوي ويأخذ العدّائين في مسارات خلابة بين الجبال، ويمر نصف الماراثون بجانب المعلم الشهير صخرة الفيل.","Saturday, October 24, 2026","Saturday, October 24, 2026",1,Tier 2,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تجارب واحة  ديمومه,الهيئة المليكة لمحافظة العلا,"تعدّ ديمومة مساحة للتأمل والمشي الهادئ، حيث يندمج الزوّار مع الطبيعة من خلال تجارب حسّية وموسمية مثل ورش العمل والفنون والعروض التفاعلية، كما تحتضن برامج ثقافية تستلهم من التراث الزراعي والبصري للمنطقة وتمنح الزوّار فرصة للاتصال العميق بالأرض وروح المكان.","Sunday, October 25, 2026","Tuesday, April 27, 2027",183,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض ومسابقة العلا للتصميم,الهيئة المليكة لمحافظة العلا,"هي مسابقة دولية  تهدف إلى دعم المصممين وتشجيعهم على تقديم تصاميم مبتكرة مستوحاة من تراث العُلا وثقافتها وبيئتها الطبيعية، تشمل مجالات مثل تصميم المنتجات والأزياء، وتُمنح فيها جوائز مالية وفرص لعرض وتسويق الأعمال الفائزة، إضافة إلى دعم مهني وانتشار إعلامي.","Monday, October 26, 2026","Wednesday, January 27, 2027",93,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,إقامة العلا الفنية,الهيئة المليكة لمحافظة العلا,"يستقطب برنامج الإقامة الفنية في العلا مجموعة متنوعة من الفنانين بحيث يستلهمون الأعمال الفنية من طبيعة العلا وتاريخها وثقافتها، وقد أسهم البرنامج في تعزيز التفاعل المجتمعي.","Monday, October 26, 2026","Saturday, February 27, 2027",124,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مخيم ركوب الدراجات جايكو,الهيئة المليكة لمحافظة العلا,"يقدم المخيم فصلًا تدريبيًا متخصصًا في تقنيات التدريب الاحترافي على ركوب الدراجات الهوائية بإشراف نخبة من الدراجين المحترفين من فريق جايكو العلا، ويهدف البرنامج إلى تزويد المشاركين بمعرفة متقدمة حول أداء ركوب الدراجات بما في ذلك استراتيجيات التحمل والمهارات التقنية وتحسين استخدام المعدات.","Wednesday, October 28, 2026","Thursday, October 29, 2026",2,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,سباق التحمل  24 ساعة في العلا ,الهيئة المليكة لمحافظة العلا," هو سباق جري الأول من نوعه في المنطقة، ويستهدف الأفراد والفرق لتحقيق أكبرعدد ممكن من اللفات على مسار بطول 8.9 كم خلال 24 ساعة، التجربة تصبح أكثر تميزًا مع مرافق التخييم والقرية الثقافية ومجموعة متنوعة من خيارات الطعام والشراب.","Friday, October 30, 2026","Saturday, October 31, 2026",2,Tier 2,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تراي وادي عشار,الهيئة المليكة لمحافظة العلا,"سيتميز الحدث بتحدي التحمل متعدد الأنشطة يجمع بين التجديف وركوب الدراجات والسباحة، ويتكون من 3000 متر على جهاز التجديف الثابت و3000 متر على جهاز الدراجة الثابتة  و300 متر سباحة، حيث يشارك فيه مشاركين من المنطقة ومن مختلف أنحاء العالم، تم تصميم هذا النموذج لتقديم تجربة لياقة شاملة تختبر القوة والقدرة على التحمل والتقنية عبر أنشطة متنوعة.","Saturday, October 31, 2026","Saturday, October 31, 2026",1,Tier 1,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,البطولة السعودية الأولى لسباق المناطيد,الهيئة المليكة لمحافظة العلا,"أول بطولة سعودية رسمية لسباق المناطيد، حيث تستعرض جمالها الطبيعي عبر مسارات متعددة موزعة على أربعة أيام من المنافسات الجوية.","Sunday, November 1, 2026","Wednesday, November 4, 2026",4,Tier 2,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تجربة طريق البخور,الهيئة المليكة لمحافظة العلا,"جولة تستمر لمدة ساعتين عبر بيوت العلا التاريخية المبنية من الطين، يتنقل الزوار بين مساحات تراثية تنبض بالحياة من خلال العروض الحية والتقنيات التفاعلية والأنشطة العملية لاكتشاف القصص القديمة وذكريات المجتمع التي تربطهم بتاريخ العلا.","Sunday, November 1, 2026","Monday, November 1, 2027",مستمر طوال العام,Tier 2,ترفيه,العلا,مهرجانات موسمية,مضاف 1,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,بيت الهروب في البلدة القديمة,الهيئة المليكة لمحافظة العلا,"تجربة الهروب من أحد بيوت البلدة القديمة بالعلا، يستكشف من خلالها الزائر حكايات وأساطير البلدة عبر حل الألغاز وكشف الأسرار المستوحاة من الذاكرة الشعبية. ","Sunday, November 1, 2026","Monday, November 1, 2027",مستمر طوال العام,Tier 2,ترفيه,العلا,مهرجانات موسمية,مضاف 1,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,جولات استكشاف عكمة والحجر ,الهيئة المليكة لمحافظة العلا,"جولات تسلط الضوء على الجانب التاريخي والثقافي لكل من موقع الحجر و جبل عكمة التاريخية، الجولات تتضمن عروض تمثيلية و سوق ثراثي و عروض ضوئية تبرز القيمة التاريخية للموقعين.","Sunday, November 1, 2026","Monday, November 1, 2027",مستمر طوال العام,Tier 2,ترفيه,العلا,مهرجانات موسمية,مضاف 1,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,حفلات الحجر على ضوء الشموع,الهيئة المليكة لمحافظة العلا,"موسيقى على ضوء الشموع وسط المناظر التاريخية في موقع الحجر التاريخي، بحضور فنانين مثل كاظم الساهر وعازفين بحيث يكون مزيج بين المقطوعات الكلاسيكية والمعاصرة ليخلق أجواء هادئة، وتقدم التجربة ثقافة فريدة لعشاق الموسيقى والزوار من خلال هذا المزيج المميز.","Thursday, November 19, 2026","Friday, November 20, 2026",2,Tier 1,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,سينما الجديدة,الهيئة المليكة لمحافظة العلا,"سينما في الهواء الطلق تقع في قلب حي الفنون الجُديدة، تركّز على عرض أفلام الفن المستقل وتعريف جماهير حي الجُديدة بثقافة السينما.","Thursday, November 26, 2026","Tuesday, April 27, 2027",153,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض مساحة العلا للتصميم,الهيئة المليكة لمحافظة العلا," مركز تصميم معاصر في قلب حي الفن  يضم صالة عرض دائمة و أرشيفًا وورش عمل تفاعلية، يشجع التفاعل بين المواهب المحلية والعالمية من خلال المعارض و الإقامات الفنية والحلقات النقاشية، ويوفر أيضًا مقاهي مصمّمة بعناية ومطاعم بحيث تقدم تجربة تجمع بين الإبداع والثقافة والاستجمام.","Thursday, November 26, 2026","Tuesday, April 27, 2027",153,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,الكأس الدولي للقدرة والتحمل  ,الهيئة المليكة لمحافظة العلا,"تستضيف محافظة العلا  بطولة كأس العالم للقدرة والتحمل 2026 (النسخة السابعة)، بتنظيم مشترك بين الاتحاد السعودي للفروسية والهيئة الملكية لمحافظة العلا، بعد فوز ملف المملكة بالاستضافة في نوفمبر 2023، وتشكل البطولة حدثاً عالمياً بارزاً يستقطب نخبة فرسان القدرة لمسافة 160 كم.","Saturday, November 28, 2026","Saturday, November 28, 2026",1,Tier 1,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض وادي الفن,الهيئة المليكة لمحافظة العلا,"مشروع عالمي للفن الأرضي يمتد في قلب الصحراء، يضم أعمالًا دائمة لفنانين عالميين مثل مايكل هايزر أحد أبرز فناني الفن الأرضي، يقدّم عملاً ضخمًا منسجمًا مع طبيعة الوادي، يعكس رؤيته في دمج الفن مع الجغرافيا والبيئة.","Saturday, December 26, 2026","Tuesday, April 27, 2027",122,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,بطولة العلا لبولو الصحراء,الهيئة المليكة لمحافظة العلا," تعد بطولة العلا للبولو البطولة العالمية الوحيدة المنظمة للبولو في بيئة صحراوية، وتجذب نخبة من أفضل لاعبي هذه الرياضة وأشهر الأسماء، تتضمن البطولة أنشطة داخل وخارج الموقع مصممة لتوفير تجربة فريدة لا تُنسى للضيوف والمشاركين.","Friday, January 15, 2027","Saturday, January 16, 2027",2,Tier 1,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,خارج نطاق 2026
, ألترا جوبي العلا  ,الهيئة المليكة لمحافظة العلا,"يُعد السباق الحدث الأبرز في الصين، ويحتفل بعامه الخامس والعشرين حيث يقدّم لأول مرة نسخته الدولية في العلا، تتضمن الفعالية عدة مستويات من التحدي أبرزها سباق ألترا جوبي 400 كم وسباق ألترا جوبي A+ الفردي لمسافة 121 كم بالإضافة إلى سباق الفرق ألترا جوبي A لمسافة 121 كم موزعة على أربع مراحل لفرق من 6 إلى 10 أشخاص.","Friday, January 22, 2027","Sunday, January 31, 2027",10,Tier 2,ترفيه,العلا,مباريات ونزالات,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,خارج نطاق 2026
,حفلات ثنايا ,الهيئة المليكة لمحافظة العلا,"إطلاق  حفلات ثنايا من خلال تقديم ١٠ حفلات رئيسية بمشاركة فنانين إقليميين ودوليين مشابهين لـ  محمد عبده و اليانا و نانسي عجرم و فضل شاكر، حيث سيقدم البرنامج مجموعة متنوعة من العروض الموسيقية المصممة لتناسب جميع الفئات العمرية.",23/04/2026,31/12/2026,10,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تضمن,
,تفعيل مسرح ثنايا 2,الهيئة المليكة لمحافظة العلا,"تفعيل مسرح ثنايا بتجربة من فئة الذهب، بمشاركة نخبة من الفنانين الإقليميين والدوليين المشابهين لـ انغام, كاظم الساهر, و جون ماير. سيقدم البرنامج مجموعة مختارة بعناية من العروض الموسيقية المصممة لجذب جمهور متنوع من جميع الفئات العمرية.",23/04/2026,31/12/2026,7,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,تفعيل مسرح ثنايا  3,الهيئة المليكة لمحافظة العلا,"تفعيل مسرح ثنايا بإعداد فاخر، بمشاركة فنانين إقليميين ودوليين مشابهين لـ محمد عبده، عبدالمجيد عبدالله، و ستيفي ووندر، وتقديم مجموعة مختارة من العروض الموسيقية المصممة لتناسب جميع الفئات العمرية.",Q4_2026 or Q1_2027,Q4_2026 or Q1_2027,1,Tier 1,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,غير متواصلة,الربع الرابع 2026م,لن تضمن,خارج نطاق 2026
,,,,,,,,,,,,,,,,
